Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"175245|KX176119.1 Uncultured fungus clone Otu1796 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence",150,1,206,97.57,97.57,100,102.49,2.93,145.19,1.00E-26,175245,Eukaryota,Fungi,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured fungus
298386|CR378676.1 Photobacterium profundum SS9 chromosome 2; segment 2/7,6837966,2700,343529,78.47,81.43,96.37,122.81,116.56,6829868.56,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378677.1 Photobacterium profundum SS9 chromosome 2; segment 3/7,6805788,2741,348759,78.33,81.38,96.25,122.88,114.19,6797567.17,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
298386|CR378678.1 Photobacterium profundum SS9 chromosome 2; segment 4/7,5681570,2750,349527,76.32,79.61,95.87,125.62,97.58,5673324.94,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
298386|CR378679.1 Photobacterium profundum SS9 chromosome 2; segment 5/7,5826540,2749,349464,69.16,71.85,96.25,139.18,96.83,5818297.19,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
298386|CR378680.1 Photobacterium profundum SS9 chromosome 2; segment 6/7,5877490,2751,349751,66.65,69.53,95.85,143.82,98.99,5869240.7,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
298386|CR378681.1 Photobacterium profundum SS9 chromosome 2; segment 7/7,2804652,1164,147669,70.03,72.79,96.21,137.39,112.51,2801160.69,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"166587|AY542247.1 Uncultured Chloroflexi bacterium clone G0M HRB-19 16S ribosomal RNA gene, partial sequence",306,2,363,68.87,69.97,98.43,142.91,5.91,297.5,1.00E-26,166587,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,uncultured Chloroflexi bacterium
"659|AB179540.1 Photobacterium phosphoreum gene for 16S rRNA, complete sequence, strain: IFO 13896",3984,12,1572,67.62,69.27,97.61,144.35,11.43,3946.89,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
"115547|AJ578124.1 Uncultured archaeon partial 16S rRNA gene, clone BS-K-D4",880,10,1366,40.56,40.63,99.82,246.13,3.73,848.14,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"86473|AY665407.1 Uncultured gamma proteobacterium clone Sorfjord-S2-10 16S ribosomal RNA gene, partial sequence",420,4,622,48.23,48.23,100,207.33,2.89,405.48,1.00E-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"77133|AY588963.1 Uncultured bacterium clone DE2.5 16S ribosomal RNA gene, partial sequence",2172,11,1471,63.22,63.29,99.89,158,6.92,2137.38,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"669|AJ580866.1 Vibrio harveyi partial mRNA for recombination-repair protein (recA gene), strain LMG 11659AJ842435.1 Vibrio harveyi partial recA gene, strain LMG 11659",804,6,769,39.27,39.4,99.67,253.8,4.68,785.95,1.00E-26,669,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi
"136468|AJ580879.1 Vibrio lentus partial mRNA for recombination-repair protein (recA gene), type strain LMG 21034T",30766,6,768,96.35,99.61,96.73,100.39,211.84,30747.8,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"136468|AJ580880.1 Vibrio lentus partial mRNA for recombination-repair protein (recA gene), strain R-3884AJ842453.1 Vibrio lentus partial partial recA gene, strain R-3884",2864,6,768,42.06,43.1,97.58,232.02,18.05,2845.85,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"34034|AJ704674.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone HMMVPog-23",800,9,1173,28.13,28.13,100,355.45,2.73,772.62,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"29497|AJ874354.1 Vibrio splendidus partial 16S rRNA gene, strain 01/044",1734,11,1439,82.07,82.42,99.58,121.33,5.5,1700.18,1.00E-26,29497,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus
"29497|AJ874366.1 Vibrio splendidus partial 16S rRNA gene, strain 02/069",1070,12,1522,45.99,46.12,99.72,216.81,3.73,1034.45,1.00E-26,29497,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus
"310682|AJ877255.1 Ilyobacter psychrophilus 16S rRNA gene, type strain FQ50T",8316,11,1409,55.57,55.64,99.87,179.72,27.03,8282.66,1.00E-26,310682,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Ilyobacter,Ilyobacter psychrophilus
"29281|AJ876986.1 Uncultured crenarchaeote partial 16S rRNA gene, clone CSSed-16Arc",664,5,637,46.94,47.1,99.67,212.33,4.71,649.05,1.00E-26,29281,Archaea,unk_k,Crenarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured crenarchaeote
"294936|AJ842542.1 Photobacterium eurosenbergii partial rpoA gene for RNA polymerase alpha-subunit, strain LMG 22223",904,7,928,42.03,43.75,96.06,228.57,5.4,882.24,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"170679|AJ842570.1 Vibrio chagasii partial rpoA gene for RNA polymerase alpha-subunit, strain LMG 13219AJ842571.1 Vibrio chagasii partial rpoA gene for RNA polymerase alpha-subunit, strain LMG 13237",1358,7,931,48.34,48.76,99.12,205.07,7.73,1336.09,1.00E-26,170679,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio chagasii
"136468|AJ842642.1 Vibrio lentus partial rpoA gene for RNA polymerase alpha-subunit, strain R-3912",221396,7,931,99.68,100,99.68,100,1093,221373.93,1.00E-26,136468,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio lentus
"28169|AJ842681.1 Listonella pelagia partial rpoA gene for RNA polymerase alpha-subunit, strain LMG 19995",12166,7,931,68.53,69.39,98.76,144.12,61.17,12143.95,1.00E-26,28169,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio pelagius
"77133|AY897266.1 Uncultured bacterium clone DOVER48B 16S ribosomal RNA gene, partial sequence",394,5,737,40.43,40.71,99.33,245.67,2.44,376.87,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"314775|AY837165.1 Vibrio sp. 1C12 heat shock protein 60 (hsp60) gene, partial cds",780,4,541,56.56,58.41,96.84,171.2,9.39,767.27,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"314788|AY837178.1 Vibrio sp. 1E02 heat shock protein 60 (hsp60) gene, partial cdsAY837181.1 Vibrio sp. 1E05 heat shock protein 60 (hsp60) gene, partial cds",3382,4,541,65.62,66.91,98.07,149.45,37.63,3369.2,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"314821|AY837211.1 Vibrio sp. 7D08 heat shock protein 60 (hsp60) gene, partial cds",4338,4,541,94.27,99.08,95.15,100.93,51.86,4325.19,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"314960|AY837350.1 Vibrio sp. 13D12 heat shock protein 60 (hsp60) gene, partial cds",11468,4,541,96.3,99.45,96.84,100.56,138.58,11455.18,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"314928|AY837318.1 Vibrio sp. 12H12 heat shock protein 60 (hsp60) gene, partial cdsAY837374.1 Vibrio sp. 13H02 heat shock protein 60 (hsp60) gene, partial cds",1002,4,541,85.4,87.62,97.47,114.14,9.73,989.25,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"315027|AY837417.1 Vibrio sp. 14D04 heat shock protein 60 (hsp60) gene, partial cds",20018,4,541,96.67,100,96.67,100,223.33,20005.18,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"338049|D21223.1 Shewanella sp. DB6906 gene for 16S rRNA, partial sequenceD63488.1 Shewanella sp. DB172F gene for 16S rRNA",1120,11,1506,26.43,26.63,99.25,375.56,3.17,1084.8,1.00E-26,338049,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. DB6906
"160238|AB015260.1 Uncultured Cytophaga sp. gene for 16S ribosomal RNA, partial sequence, clone:JTB132",2244,11,1487,61.06,61.13,99.89,163.59,6.96,2208.99,1.00E-26,160238,Bacteria,unk_k,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,uncultured Cytophaga sp.
"2722|AB015534.1 Unidentified proteobacterium gene for 16S ribosomal RNA, partial sequence, clone: BD2-4",2434,11,1493,65.1,65.17,99.9,153.44,6.63,2398.83,1.00E-26,2722,Bacteria,unk_k,Proteobacteria,unk_c,unk_o,unk_f,unk_g,unidentified proteobacterium
"120858|AB013263.1 Uncultured epsilon proteobacterium gene for 16S ribosomal RNA, partial sequence, clone: NKB11",11206,11,1475,96.68,97.42,99.23,102.64,35.93,11171.08,1.00E-26,120858,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,uncultured Epsilonproteobacteria bacterium
"165264|AF388393.1 Vibrio sp. 3d clone 3d7 16S ribosomal RNA gene, partial sequence",6092,11,1516,72.43,72.43,100,138.07,17.48,6056.16,1.00E-26,165264,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. 3d
"173509|NR_025195.1 Shewanella fidelis strain KMM 3582 16S ribosomal RNA gene, partial sequenceAF420312.1 Shewanella fidelia strain KMM3582T 16S ribosomal RNA gene, partial sequence",19248,11,1500,92.33,92.33,100,108.3,59.42,19212.47,1.00E-26,173509,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella fidelis
"38313|AY066004.1 Shewanella algae oxacillinase (oxaSH) and transcriptional regulator LysR (otrR) genes, complete cds",13656,18,2300,93.74,95.22,98.45,105.02,24.2,13601.57,1.00E-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"38313|AY069931.1 Shewanella algae cephalosporinase (ampC) gene, complete cds",4562,10,1370,86.79,90.88,95.5,110.04,22.29,4529.63,1.00E-26,267890,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,,
"1211|AY176634.1 Uncultured cyanobacterium clone RED132-2-8 PsbA (psbA) gene, partial cds",650,6,849,34.16,35.34,96.67,283,4.24,630.15,1.00E-26,1117,Bacteria,unk_k,Cyanobacteria,unk_c,unk_o,unk_f,unk_g,
"38145|AB116389.1 Uncultured Gram-positive bacterium gene for 16S rRNA, partial sequence, clone: K10",968,9,1141,61.52,61.96,99.29,161.39,4.55,941.28,1.00E-26,38145,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured Gram-positive bacterium
"74109|AY455892.1 Photobacterium profundum strain DSJ4 DNA gyrase subunit B (gyrB) gene, partial cds",3656,9,1209,50.04,52.11,96.03,191.9,20.03,3627.44,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"153809|AJ810610.1 Uncultured proteobacterium 16S rRNA gene, isolate MZ-90.NAT",280,3,471,52.65,53.5,98.41,186.9,3.18,269.03,1.00E-26,153809,Bacteria,unk_k,Proteobacteria,unk_c,unk_o,unk_f,unk_g,uncultured proteobacterium
"86473|AJ810618.1 Uncultured gamma proteobacterium 16S rRNA gene, isolate MZ-738.NAT",6592,3,461,93.06,98.05,94.91,101.99,67.48,6581.08,1.00E-26,1236,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,,
"663|AJ842370.1 Vibrio alginolyticus partial recA gene, strain LMG 19993",1020,6,797,40.78,40.78,100,245.23,5.59,1001.26,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"663|AJ842372.1 Vibrio alginolyticus partial recA gene, strain LMG 4407AJ842374.1 Vibrio alginolyticus partial recA gene, strain R-14876",1730,6,797,76.04,76.16,99.84,131.3,8.62,1711.2,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"680|AJ842378.1 Vibrio campbellii partial recA gene, strain LMG 11256",558,6,797,50.19,50.44,99.5,198.26,3.01,539.39,1.00E-26,680,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio campbellii
"136468|AJ842452.1 Vibrio lentus partial recA gene, strain LMG 21034T",416,6,797,46.55,47.18,98.67,211.97,3.34,397.48,1.00E-26,136468,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio lentus
"136468|AJ842455.1 Vibrio lentus partial recA gene, strain R-3912",100278,6,797,97.24,100,97.24,100,635.04,100259.11,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"77133|AJ867602.1 Uncultured bacterium 16S rRNA gene, clone 30-B02",438,5,759,39.53,39.53,100,253,3.45,420.33,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"327578|DQ005883.1 Vibrionaceae bacterium C16 16S ribosomal RNA gene, partial sequence",3922,11,1393,42.43,43.07,98.5,232.17,10.79,3889.1,1.00E-26,327578,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,unk_g,Vibrionaceae bacterium C16
"311789|AB201788.1 Shewanella abyssi gene for similar to DNA gyrase B subunit, strain: d943",570,7,907,50.39,50.61,99.56,197.6,2.65,548.85,1.00E-26,311789,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella abyssi
"198240|AY883171.1 Uncultured methanogenic archaeon clone AN07BC1_15_31 McrA (mcrA) gene, partial cds",60174,6,769,98.57,100,98.57,100,259.07,60155.77,1.00E-26,198240,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured methanogenic archaeon
"198240|AY883175.1 Uncultured methanogenic archaeon clone AN07BC1_20_04 McrA (mcrA) gene, partial cds",1924,6,760,53.42,54.08,98.78,184.91,10.69,1906.06,1.00E-26,198240,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured methanogenic archaeon
"38313|DQ058661.1 Shewanella algae quinolone resistance determinant QnrA3 (qnrA3) gene, complete cds",1468,5,657,65.75,66.21,99.31,151.03,10.95,1452.5,1.00E-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"38313|DQ058663.1 Shewanella algae quinolone resistance determinant QnrA5 (qnrA5) gene, complete cds",1206,5,657,95.43,95.74,99.68,104.45,7.42,1190.51,1.00E-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"77133|AB197197.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone:IBP6.5m-40",4574,8,1057,89.88,92.24,97.44,108.41,22.09,4549,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"114243|AB119635.1 Uncultured euryarchaeote gene for 16S rRNA, partial sequence, clone:ESYB79",498,6,875,43.54,43.89,99.22,227.86,3.77,477.64,1.00E-26,114243,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured euryarchaeote
"160238|AB238990.1 Uncultured Cytophaga sp. gene for 16S rRNA, partial sequence, clone: BJS72-066",488,7,923,54.28,56.01,96.91,178.53,3.25,466.55,1.00E-26,978,Bacteria,unk_k,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,
"120965|AY191354.1 Uncultured planctomycete isolate ODP1176A6H_20_B 16S ribosomal RNA gene, partial sequence",448,7,890,33.6,33.71,99.67,296.67,2.36,427.34,1.00E-26,120965,Bacteria,unk_k,Planctomycetota,unk_c,unk_o,unk_f,unk_g,uncultured planctomycete
"188931|AB080995.1 Vibrio sp. T-1800 npr-1 gene for metallo proteinase, complete cds",27910,20,2649,50.43,55.3,91.19,180.82,81.59,27847.27,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"77133|DQ394965.1 Uncultured bacterium clone VHS-B3-81 16S ribosomal RNA gene, partial sequence",874,11,1458,40.47,40.74,99.33,245.45,3.5,840.04,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|DQ312792.1 Uncultured bacterium clone 3H4B 23S ribosomal RNA gene, partial sequence",4824,6,769,97.01,98.18,98.81,101.85,40.21,4805.8,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB177160.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1230B18.11",2992,11,1428,75.21,75.63,99.44,132.22,11.89,2958.32,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB177255.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1244B5.9",1456,8,1098,36.98,37.34,99.02,267.8,6.26,1430.18,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB177298.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1251B1.23",1666,8,1104,55.89,56.07,99.68,178.35,7.8,1640.01,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB177299.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1251B1.3",636,8,1067,47.61,47.89,99.41,208.81,3.34,611.15,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB177300.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1251B1.4",918,8,1091,34.65,34.74,99.74,287.86,3.61,892.46,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|AB233465.1 Uncultured archaeon gene for methyl-coenzyme M reductase alpha subunit, partial cds",1086,5,668,56.59,57.34,98.69,174.41,6.73,1070.27,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AY324364.1 Uncultured archaeon clone F17.1_30B02 methyl-coenzyme M reductase subunit alpha (mcrA) gene, partial cds",4742,5,711,94.09,95.64,98.38,104.56,22.66,4725.17,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|AY324366.1 Uncultured archaeon clone BR_42bB02 methyl-coenzyme M reductase subunit alpha (mcrA) gene, partial cds",2650,6,774,77.39,80.49,96.15,124.24,15.12,2631.71,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|AY327048.1 Uncultured archaeon clone GZfos17A3 mcr operon, complete sequence",27746,77,9787,84.52,88.46,95.54,113.04,20.58,27514.85,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|AY327049.1 Uncultured archaeon clone GZfos35D7 mcr operon, partial sequence",108458,39,4947,80.09,85.43,93.75,117.06,164.67,108340.79,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|AY547780.1 Uncultured bacterium clone B108-4.6% 16S ribosomal RNA gene, partial sequence",360,5,717,41.7,41.84,99.67,239,2.51,343.35,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"670|DQ141606.1 Vibrio parahaemolyticus strain zj2003 TolC (tolC) gene, complete cds",3104,10,1272,66.59,67.3,98.95,148.6,10.38,3073.98,1.00E-26,670,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
"120858|AY211663.1 Uncultured epsilon proteobacterium clone GoM GC185 538E 16S ribosomal RNA gene, partial sequence",1532,10,1294,61.05,61.21,99.75,163.38,6.39,1501.6,1.00E-26,120858,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,uncultured Epsilonproteobacteria bacterium
"77133|AY391509.1 Uncultured bacterium clone Lgjp-23 16S ribosomal RNA gene, partial sequence",778,6,797,45.8,48.06,95.3,208.09,3.76,759.31,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"38313|AF005688.1 Shewanella alga DNA gyrase beta-subunit (gyrB) gene, partial cds",914,9,1257,55.61,56.32,98.73,177.54,3.58,884.63,1.00E-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"553611|AY292951.1 Photobacterium leiognathi strain SN2B 16S ribosomal RNA gene, complete sequence",4684,12,1540,44.48,45.26,98.28,220.95,12.78,4647.62,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
"153939|AY590511.1 Uncultured sulfate-reducing bacterium clone Sed2-DSR 22 dissimilatory sulfite reductase alpha subunit (dsrA) gene, partial cds",414,5,681,43.76,44.05,99.33,227,2.64,398.13,1.00E-26,153939,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured sulfate-reducing bacterium
"34034|AF424244.1 Uncultured delta proteobacterium MERTZ_21CM_12 16S ribosomal RNA gene, partial sequence",978,7,975,40.31,40.92,98.5,244.36,4.62,955.13,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"92883|AF134382.1 Uncultured archaeon BA1b1 16S ribosomal RNA, partial sequence",1252,7,892,56.61,56.95,99.41,175.59,8.37,1231.01,1.00E-26,92883,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured archaeon BA1b1
"96979|AF154104.1 Uncultured hydrocarbon seep bacterium GCA004 16S ribosomal RNA gene, partial sequence",1052,11,1474,51.49,52.37,98.32,190.93,4.22,1017.57,1.00E-26,200795,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,
"96969|AF154089.1 Uncultured hydrocarbon seep bacterium BPC036 16S ribosomal RNA gene, partial sequence",2314,11,1502,73.37,73.77,99.46,135.56,8.16,2278.64,1.00E-26,96969,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured hydrocarbon seep bacterium BPC036
"95922|AF121100.1 Uncultured methanogen ODP8-ME2 McrA (mcrA) gene, partial cds",320,4,621,74.56,75.68,98.51,132.13,1.93,305.58,1.00E-26,95922,Archaea,unk_k,Euryarchaeota,Methanomicrobia,Methanosarcinales,unk_f,unk_g,uncultured methanogen ODP8-ME2
"135300|AF286031.1 Saltmarsh clone LCP-26 16S ribosomal RNA, partial sequence",1494,12,1523,34.54,34.67,99.62,288.45,4.53,1458.28,1.00E-26,135300,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,saltmarsh clone LCP-26
"95861|AF146247.1 Uncultured archaeon CLEAR-24 16S ribosomal RNA gene, partial sequence",772,7,963,53.37,56.07,95.19,178.33,5.3,749.47,1.00E-26,28890,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,,
"138763|AF296026.1 Unidentified bacterium SM-A48 RNAase P (rnpB) gene, partial sequence",612,2,290,95.52,99.66,95.85,100.35,12.49,605.16,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"56765|AF193488.1 Uncultured marine bacterium clone 5-5 group I chitinase (chi) gene, partial cds",6606,7,926,57.45,61.23,93.83,163.32,52.78,6584.08,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"56765|AF193492.1 Uncultured marine bacterium clone 5-37 group I chitinase (chi) gene, partial cds",1188,7,926,66.85,70.52,94.79,141.81,11.26,1166.23,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"56765|AF193493.1 Uncultured marine bacterium clone 5-40 group I chitinase (chi) gene, partial cds",3294,7,926,50.76,53.46,94.95,187.07,28.78,3272.11,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
