Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
4932|X00149.1 Saccharomyces cerevisiae mt 21s rRNA gene r1-intron,1410,4,1276,23.51,23.51,100.0,425.33,7.41,1395.69,1e-26,4932,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae
"227748|HQ729481.1 Pseudoalteromonas sp. D41 TonB-dependent receptor gene, complete cds",64750,8,2133,96.48,97.14,99.32,102.94,136.35,64725.98,1e-26,227748,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. D41
"1277178|KC160904.1 Photobacterium sp. SS12.11 16S ribosomal RNA gene, partial sequence",5222,5,1507,56.01,56.07,99.88,178.34,14.93,5205.05,1e-26,1277178,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium sp. SS12.11
"86473|KC246462.1 Uncultured gamma proteobacterium clone XSLL014 16S ribosomal RNA gene, partial sequence",1958,2,700,40.57,42.86,94.67,233.33,17.06,1950.13,1e-26,1236,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,,
"77133|FR820065.1 Uncultured bacterium partial 16S rRNA gene, clone 422d99",1594,1,449,45.43,46.33,98.08,215.87,19.21,1588.95,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"263865|JF422986.1 Uncultured candidate division JS1 bacterium clone 1659PC_10_1B_14 16S ribosomal RNA gene, partial sequence",2370,3,1000,28.9,28.9,100.0,346.02,11.5,2358.76,1e-26,263865,Bacteria,unk_k,Atribacterota,unk_c,unk_o,unk_f,unk_g,uncultured Atribacterota bacterium
"263865|JF422989.1 Uncultured candidate division JS1 bacterium clone 1659PC_10_1B_57 16S ribosomal RNA gene, partial sequence",8122,3,1044,49.52,49.62,99.81,201.54,34.82,8110.25,1e-26,263865,Bacteria,unk_k,Atribacterota,unk_c,unk_o,unk_f,unk_g,uncultured Atribacterota bacterium
"120965|JF423038.1 Uncultured planctomycete clone 1659PC_10_1B_2 16S ribosomal RNA gene, partial sequence",1020,3,1050,26.48,26.57,99.64,376.34,4.29,1008.24,1e-26,120965,Bacteria,unk_k,Planctomycetota,unk_c,unk_o,unk_f,unk_g,uncultured planctomycete
9606|KC877460.1 Homo sapiens chromosome 11 clone WGS_JPT_AP003173.4_58568 genomic sequence,3606,2,551,55.17,55.17,100.0,181.25,21.83,3599.8,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|AB761791.1 Homo sapiens DNA, flanking sequence of putative initiation site for DNA replication, clone: D1_G06",2276,4,1097,22.33,22.52,99.19,444.13,9.77,2263.68,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|AB761810.1 Homo sapiens DNA, flanking sequence of putative initiation site for DNA replication, clone: D2_D04",2810,3,1037,27.87,28.93,96.33,345.67,15.13,2798.34,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"155900|KC998152.1 Uncultured organism clone DH27_5M-049 photosystem II D1 protein (psbA) gene, partial cds",3176,3,845,34.79,35.5,98.0,281.67,20.19,3166.5,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JX228926.1 Uncultured bacterium clone NT-dsrB-OTU4 dissimilatory sulfite reductase (dsrB) gene, partial cds",1272,0,212,93.87,100.0,93.87,100.0,43.31,1269.61,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|KC923109.1 Uncultured archaeon clone 5-9A-48 16S ribosomal RNA gene, partial sequence",2528,2,713,37.31,38.29,97.44,261.17,26.0,2519.98,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB824968.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: Exp331_INH_102U_86",4020,1,377,72.41,72.41,100.0,138.1,58.98,4015.76,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB825327.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: Exp331_INH_46U_77",2130,1,377,69.5,69.76,99.62,143.35,34.1,2125.76,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB825452.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: Exp331_INH_51U_85",1414,1,372,68.28,69.62,98.07,143.63,20.02,1409.82,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB825581.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: Exp331_INH_69U_66",440,1,373,46.92,47.45,98.87,210.73,7.45,435.82,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|KC471282.1 Uncultured archaeon clone T_36 16S ribosomal RNA gene, partial sequence",13470,5,1434,62.34,66.81,93.32,149.69,70.62,13453.86,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"38313|KC784941.1 Shewanella algae strain KJF27 serine hydroxymethyltransferase (glyA) gene, complete cds",4640,4,1254,38.76,40.35,96.05,247.83,23.79,4625.9,1e-26,267890,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,,
"86103|KF052992.1 Idiomarina zobellii strain SBU4 16S ribosomal RNA gene, partial sequence",6912,5,1478,27.67,27.67,100.0,361.37,20.09,6895.37,1e-26,86103,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina zobellii
"77133|KF227601.1 Uncultured bacterium clone PAC_5_15_3000m_6C_E_1_727.3 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",47494,3,912,84.1,84.76,99.22,117.98,320.21,47483.73,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
3635|JX622474.1 Gossypium hirsutum clone NBRI_GE69214 microsatellite sequence,3538,1,372,80.65,80.65,100.0,124.0,32.06,3533.81,1e-26,3635,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium hirsutum
"115547|AB831263.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: MK0D_A4",2532,3,846,35.22,35.46,99.33,282.0,20.85,2522.49,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB831308.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: MK1732D_A18",2236,3,834,25.78,25.78,100.0,387.91,13.92,2226.63,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB831324.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: MK2013D_A16",2694,3,899,33.26,33.37,99.67,299.67,18.91,2683.89,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|AB831376.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: MK0D_B46",7376,4,1147,66.17,66.17,100.0,151.12,31.75,7363.09,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|AB831533.1 Uncultured archaeon mcrA gene for methyl-coenzyme M reductase alpha subunit, partial cds, clone: MK2013D_M12",1776,1,427,99.77,100.0,99.77,100.0,17.33,1771.2,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
267375|JX661584.1 Pseudoalteromonas marina clone MV1a outer membrane vesicle-derived fragment genomic sequence,5296,3,856,54.56,57.48,94.92,173.98,41.99,5286.37,1e-26,267888,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,,
267375|JX661585.1 Pseudoalteromonas marina clone MV1b outer membrane vesicle-derived fragment genomic sequence,4248,2,732,36.75,40.03,91.81,249.83,42.22,4239.76,1e-26,267888,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,,
"358574|KC990987.1 Uncultured microorganism clone 1363B1H1_SC09 16S ribosomal RNA gene, partial sequence",1468,3,846,29.08,32.39,89.78,308.76,8.5,1458.5,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|KC991015.1 Uncultured microorganism clone 1363G1H2_SC02 16S ribosomal RNA gene, partial sequence",3322,1,465,53.55,53.55,100.0,186.75,25.8,3316.77,1e-26,358574,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured microorganism
"77133|KF440317.1 Uncultured bacterium clone AMSGC_95_B37 16S ribosomal RNA gene, partial sequence",5058,5,1516,36.21,36.68,98.74,272.66,18.04,5040.95,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|KF440318.1 Uncultured bacterium clone AMSGC_95_B38 16S ribosomal RNA gene, partial sequence",2298,5,1532,25.78,26.11,98.75,383.0,6.74,2280.8,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|KF440321.1 Uncultured bacterium clone AMSGC_95_B49 16S ribosomal RNA gene, partial sequence",2018,5,1522,27.46,27.6,99.52,362.38,7.08,2000.92,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|KF440324.1 Uncultured bacterium clone AMSGC_95_B62 16S ribosomal RNA gene, partial sequence",2404,5,1488,20.09,20.16,99.67,496.0,9.47,2387.29,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|KF440339.1 Uncultured archaeon clone AMSGC_2_A16 16S ribosomal RNA gene, partial sequence",29496,5,1458,98.01,98.49,99.51,101.53,99.54,29479.58,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|KF440348.1 Uncultured archaeon clone AMSGC_63_A3 16S ribosomal RNA gene, partial sequence",3336,5,1357,34.64,34.64,100.0,288.72,10.74,3320.75,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|KF440363.1 Uncultured archaeon clone AMSGC_95_A24 16S ribosomal RNA gene, partial sequence",1954,5,1351,22.21,22.21,100.0,450.33,6.44,1938.84,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"1219076|CP006718.1 Vibrio alginolyticus NBRC 15630 = ATCC 17749 chromosome 1, complete sequence",11850666,12282,3334467,34.94,35.25,99.13,283.7,15.91,11813870.53,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"1219076|CP006719.1 Vibrio alginolyticus NBRC 15630 = ATCC 17749 chromosome 2, complete sequence",5590736,6742,1812170,32.47,32.8,99.01,304.92,13.88,5570541.0,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|KF202954.1 Uncultured bacterium clone 1_8 adenosine-5'-phosphosulfate reductase subunit A (aprA) gene, partial cds",5626,1,395,97.72,100.0,97.72,100.0,68.54,5621.55,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"265882|KF202997.1 Uncultured anaerobic ammonium-oxidizing bacterium clone V8_7 hydrazine synthase subunit A (hzsA) gene, partial cds",3180,4,1094,27.06,27.42,98.67,364.67,11.79,3167.7,1e-26,265882,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured anaerobic ammonium-oxidizing bacterium
"77133|AB858529.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: BMS3AB75",2122,5,1388,20.97,21.61,97.0,462.67,8.86,2106.42,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|KF050859.1 Uncultured microorganism clone 3224_B11 nitrogenase reductase subunit NifH (nifH) gene, partial cds",6532,1,422,91.47,93.84,97.47,106.57,102.02,6527.25,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|KF050863.1 Uncultured microorganism clone 3224_C03 nitrogenase reductase subunit NifH (nifH) gene, partial cds",2588,1,472,61.65,63.56,97.0,157.33,36.14,2582.69,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|KF050866.1 Uncultured microorganism clone 3224_C06 nitrogenase reductase subunit NifH (nifH) gene, partial cds",852,1,379,51.19,51.45,99.49,194.36,14.24,847.74,1e-26,358574,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured microorganism
"358574|KF050879.1 Uncultured microorganism clone 3224_E04 nitrogenase reductase subunit NifH (nifH) gene, partial cds",1526,1,389,53.73,55.78,96.31,179.26,15.44,1521.62,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|KF050881.1 Uncultured microorganism clone 3224_E06 nitrogenase reductase subunit NifH (nifH) gene, partial cds",10294,1,386,97.93,100.0,97.93,100.0,136.03,10289.65,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|KF050882.1 Uncultured microorganism clone 3224_E07 nitrogenase reductase subunit NifH (nifH) gene, partial cds",6830,1,389,97.69,100.0,97.69,100.0,105.78,6825.62,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|KF050912.1 Uncultured microorganism clone 3224_H11 nitrogenase reductase subunit NifH (nifH) gene, partial cds",2572,1,389,90.23,93.32,96.69,107.16,39.24,2567.62,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
280463|XM_005781618.1 Emiliania huxleyi CCMP1516 hypothetical protein mRNA,1012,4,1267,22.49,23.68,95.0,422.33,5.44,997.82,1e-26,418966,Eukaryota,unk_k,Haptophyta,unk_c,Isochrysidales,Noelaerhabdaceae,,
"153939|AB855996.1 Uncultured sulfate-reducing bacterium dsrA, dsrB genes for dissimilatory sulfite reductase alpha subunit, dissimilatory sulfite reductase beta subunit, partial cds, clone: KS1d02",8408,4,1190,30.08,32.77,91.79,305.13,56.48,8394.61,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"227748|JN865255.1 Pseudoalteromonas sp. D41 50S ribosomal protein L4 gene, partial cds",30210,2,603,99.83,100.0,99.83,100.0,248.06,30203.21,1e-26,227748,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. D41
"447425|KF784858.1 Halomonas nitroreducens strain GS04 16S ribosomal RNA gene, partial sequence",3950,1,524,57.25,57.25,100.0,174.67,38.28,3944.1,1e-26,447425,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas nitroreducens
"173971|KF859671.1 Uncultured Halomonas sp. clone HB_30 16S ribosomal RNA gene, partial sequence",2976,5,1499,20.01,20.01,100.0,499.67,9.36,2959.16,1e-26,173971,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,uncultured Halomonas sp.
"77133|KF616779.1 Uncultured bacterium clone AS3730incBP1E11 16S ribosomal RNA gene, partial sequenceKF616812.1 Uncultured bacterium clone AS3730incBP2B12 16S ribosomal RNA gene, partial sequence",3374,5,1480,29.66,29.86,99.32,334.84,12.56,3357.37,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|KF616825.1 Uncultured bacterium clone AS3730incBP1D04 16S ribosomal RNA gene, partial sequenceKM356493.1 Uncultured bacterium clone AS_3730inc_bac_BP1_D04 16S ribosomal RNA gene, partial sequence",3692,5,1494,20.01,20.08,99.67,498.0,10.22,3675.21,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|KF616827.1 Uncultured bacterium clone AS3730incBP2B08 16S ribosomal RNA gene, partial sequenceKM356495.1 Uncultured bacterium clone AS_3730inc_bac_BP2_B08 16S ribosomal RNA gene, partial sequence",8018,5,1490,60.67,60.87,99.67,164.28,24.67,8001.24,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
9606|KF941192.1 Homo sapiens isolate 1a satellite DYZ1 sequence,49588,13,3599,87.25,87.72,99.46,114.0,57.5,49547.49,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"663|KF976814.1 Vibrio alginolyticus strain HY9901 hemin ABC transporter (hutC) gene, complete cds",1316,3,1038,20.81,20.91,99.54,478.34,4.04,1304.36,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|AB948493.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: B-2-10STMZ-35",694,4,1087,26.95,27.6,97.67,362.33,4.37,681.85,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|AB970922.1 Uncultured archaeon mcrA gene for methyl coenzyme-M reductase subunit A, partial cds, clone: m-2-3STMZ-17",6664,1,483,73.71,75.78,97.27,131.97,62.25,6658.56,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"187300|AB827604.1 Uncultured dinoflagellate gene for 18S rRNA, partial sequence, clone: HP09D-66",918,2,570,41.58,45.09,92.22,221.79,7.29,911.6,1e-26,2864,Eukaryota,unk_k,unk_p,Dinophyceae,unk_o,unk_f,,
"159267|KM076325.1 Uncultured Fusobacterium sp. clone PH046K08 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",1908,2,558,26.88,26.88,100.0,372.0,14.24,1901.73,1e-26,159267,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,uncultured Fusobacterium sp.
"318479|LK979248.1 Dracunculus medinensis genome assembly D_medinensis_Ghana ,scaffold DME_contig0000878",6808,5,1443,56.06,57.66,97.24,173.44,25.56,6791.77,1e-26,318478,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Dracunculidae,Dracunculus,
"318479|LK979197.1 Dracunculus medinensis genome assembly D_medinensis_Ghana ,scaffold DME_contig0000829",1556,6,1627,47.57,48.37,98.35,206.73,5.26,1537.77,1e-26,318478,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Dracunculidae,Dracunculus,
"387005|LM547831.1 Onchocerca flexuosa genome assembly O_flexuosa_Cordoba ,scaffold OFLC_contig0007392",16906,7,2089,67.78,68.45,99.02,146.08,43.46,16882.49,1e-26,387005,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Onchocerca,Onchocerca flexuosa
"6290|LM607401.1 Haemonchus placei genome assembly H_placei_MHpl1 ,scaffold HPLM_contig0015518",19190,1,519,99.42,99.81,99.61,100.19,225.42,19184.16,1e-26,6290,Eukaryota,Metazoa,Nematoda,Chromadorea,Strongylida,Haemonchidae,Haemonchus,Haemonchus placei
"117903|LM816151.1 Protopolystoma xenopodis genome assembly P_xenopodis_South_Africa ,scaffold PXEA_contig0092228",5176,5,1434,39.89,40.1,99.48,249.39,16.93,5159.87,1e-26,117903,Eukaryota,Metazoa,Platyhelminthes,Monogenea,Polystomatidea,Polystomatidae,Protopolystoma,Protopolystoma xenopodis
"117903|LM942899.1 Protopolystoma xenopodis genome assembly P_xenopodis_South_Africa ,scaffold PXEA_contig0196334",1304,2,657,29.98,30.44,98.5,328.5,9.95,1296.62,1e-26,117903,Eukaryota,Metazoa,Platyhelminthes,Monogenea,Polystomatidea,Polystomatidae,Protopolystoma,Protopolystoma xenopodis
"117903|LM962126.1 Protopolystoma xenopodis genome assembly P_xenopodis_South_Africa ,scaffold PXEA_contig0213681",874,2,594,71.55,72.05,99.3,138.79,7.71,867.33,1e-26,117903,Eukaryota,Metazoa,Platyhelminthes,Monogenea,Polystomatidea,Polystomatidae,Protopolystoma,Protopolystoma xenopodis
"99802|LN395359.1 Spirometra erinaceieuropaei genome assembly S_erinaceieuropaei ,scaffold SPER_scaffold0241222",798,2,682,33.43,36.8,90.84,271.71,6.99,790.35,1e-26,28843,Eukaryota,Metazoa,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,,
"77133|HG425671.1 Uncultured bacterium partial 16S rRNA gene, clone YK06-05_957_Bac_56",496,2,708,29.66,30.65,96.77,326.27,4.76,488.08,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|HG425672.1 Uncultured bacterium partial 16S rRNA gene, clone YK06-05_957_Bac_57",2050,2,687,29.84,31.3,95.35,319.53,19.84,2042.28,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|LN626824.1 Uncultured archaeon partial 16S rRNA gene, clone SW-A_21",7356,5,1359,23.84,23.84,100.0,419.44,22.65,7340.71,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|LN626851.1 Uncultured archaeon partial 16S rRNA gene, clone SW-A_48",1296,5,1359,21.27,21.27,100.0,470.24,4.67,1280.78,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|KF911046.1 Uncultured bacterium clone 7-2_1 PHA synthase (phaC) gene, partial cds",1356,2,537,49.91,50.65,98.53,197.43,10.06,1349.96,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"1570069|KM487645.1 Vibrio sp. AN72 TopA (topA) gene, partial cds",2224,2,678,40.56,40.56,100.0,246.55,12.57,2216.38,1e-26,1570069,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. AN72
"115547|AB802695.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_Thp_06_0014",14342,5,1398,87.05,87.12,99.92,114.78,56.29,14326.26,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|AB804248.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_001_010",9882,5,1511,55.33,55.39,99.88,180.53,33.69,9865.0,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB804370.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_001_132AB804533.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_001_295AB804552.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_001_314",4900,5,1512,26.98,27.05,99.76,369.68,14.08,4883.0,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB804998.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_001_760",3520,5,1512,33.33,33.6,99.21,297.64,10.45,3503.01,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB805014.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_001_776",7422,4,1201,52.54,52.54,100.0,190.33,27.62,7408.49,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB805090.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_001_852",5418,5,1509,45.26,45.39,99.71,220.29,23.98,5401.03,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB805302.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_002_065",4008,5,1567,64.65,65.54,98.64,152.58,14.35,3990.39,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB805465.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_002_228",8126,5,1510,23.11,23.11,100.0,432.66,22.24,8109.01,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB805895.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_OP11_005_001",864,5,1393,19.45,21.54,90.33,464.33,5.81,848.44,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|AB806031.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_020_002",1038,5,1437,31.66,32.08,98.7,311.71,2.71,1021.93,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806038.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_024_001",1622,5,1445,19.58,20.76,94.33,481.67,6.6,1605.8,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|AB806065.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_044_001",1722,5,1430,20.35,20.98,97.0,476.67,6.5,1705.96,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB806076.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_055_001",2510,5,1419,20.65,21.14,97.67,473.0,8.67,2494.06,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB806089.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_068_001",4860,5,1428,20.94,21.01,99.67,476.0,13.59,4843.94,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB807069.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Pla_024_002",3650,5,1469,20.29,20.42,99.33,489.67,13.48,3633.49,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB807078.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Pla_027_002",2130,5,1481,20.26,20.26,100.0,493.67,6.08,2113.38,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB807342.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_TA06_003_001",4238,5,1489,50.17,51.58,97.27,193.88,18.52,4221.26,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
